product_name,hsncode,gst,MRP,saleprice,purchase price,sub_category,category,patanjali_cat,box_size,
ORANGE HONEY FACEWASH 60 G,34013090,18.00,45.00,33.90,32.01,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
ORANGE JUICE 1000 ML-T,22029020,12.00,85.00,65.42,61.96,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
ORANGE JUICE 200ML  - T,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
ORANGE SQUASH 750 ML,20089913,12.00,115.00,91.27,86.43,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
PANCGAVYA BODY CLEANSER 75 G,34011941,18.00,13.00,10.20,9.63,BATHING SOAP,HOME CARE,NON FOOD,144,
PAV BHAJI MASALA 100 G,09109100,5.00,47.00,39.79,37.80,SPICES,RICE/PULSES/SPICES,FOOD,60,
PEEDANTAK PAIN RELIEVER 50 G,30049011,12.00,70.00,52.08,49.32,PAIN RELIEVER,NATURAL PERSONAL CARE,NON FOOD,96,
PEEDANTAK VATI 20 G,30049011,12.00,45.00,33.48,NOTFORRETAIL,VATI,JUICES & NATURAL BEVERAGES,FOOD,400,
PEEDANTAK VATI 40G,30049011,12.00,90.00,66.96,NOTFORRETAIL,VATI,JUICES & NATURAL BEVERAGES,FOOD,400,
PINE APPLE JUICE 1000 ML-T,22029020,12.00,85.00,65.42,61.96,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
PINE APPLE JUICE 200ML  - T,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
PINEAPPLE JAM 500 G,20079930,12.00,75.00,57.73,54.67,JAM,BISCUIT & CONFFECTIONARY,FOOD,12,
PMS SYRUP 200 ML,30049011,12.00,75.00,55.80,52.84,SYRUP,JUICES & NATURAL BEVERAGES,FOOD,36,
POPULAR DETERGENT CAKE 125 G,34022010,18.00,6.00,4.71,4.45,DETERGENT CAKE,HOME CARE,NON FOOD,100,
POPULAR DETERGENT CAKE 250 G,34022010,18.00,12.00,9.42,8.89,DETERGENT CAKE,HOME CARE,NON FOOD,50,
POPULAR DETERGENT POWDER 1 KG,34029011,18.00,50.00,39.23,37.05,DETERGENT POWDER,HOME CARE,NON FOOD,25,
POPULAR DETERGENT POWDER 20 G,34029011,18.00,1.00,0.78,0.74,DETERGENT POWDER,HOME CARE,NON FOOD,1000,
POPULAR DETERGENT POWDER 250 G,34029011,18.00,13.00,10.20,9.63,DETERGENT POWDER,HOME CARE,NON FOOD,100,
POPULAR DETERGENT POWDER 5 KG,34029011,18.00,240.00,188.32,177.83,DETERGENT POWDER,HOME CARE,NON FOOD,5,
POPULAR DETERGENT POWDER 500 G,34029011,18.00,25.00,19.62,18.52,DETERGENT POWDER,HOME CARE,NON FOOD,50,
PREMIUM DETERGENT POWDER 1 KG,34029011,18.00,185.00,145.17,137.08,DETERGENT POWDER,HOME CARE,NON FOOD,12,
PREMIUM DETERGENT POWDER 500 GM,34029011,18.00,95.00,74.54,70.39,DETERGENT POWDER,HOME CARE,NON FOOD,24,
PUSHTAHAR DALIA 500 G,11031900,5.00,40.00,33.86,32.17,DALIA,FLOUR & SUGAR,FOOD,30,
RAJMA MASALA 100 G,09109100,5.00,43.00,36.40,34.59,SPICES,RICE/PULSES/SPICES,FOOD,60,
ROSE BODY CLEANSER 125 G,34011941,18.00,45.00,35.31,33.34,BATHING SOAP,HOME CARE,NON FOOD,100,
ROSE FACE WASH 60 G,34013090,18.00,45.00,33.90,32.01,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
ROSE KANTI BODY CLEANSER 75 G,34011941,18.00,20.00,15.69,14.82,BATHING SOAP,HOME CARE,NON FOOD,144,
SABZI MASALA 100 G,09109100,5.00,45.00,35.71,33.93,SPICES,RICE/PULSES/SPICES,FOOD,60,
SAMBHAR MASALA 100 G,09109100,5.00,40.00,33.86,32.17,SPICES,RICE/PULSES/SPICES,FOOD,60,
SATAVAR CHURNA 100 G,30049011,12.00,160.00,119.05,112.73,CHURNA (DP),JUICES & NATURAL BEVERAGES,FOOD,100,
SATTU 200 GM,11022000,5.00,28.00,23.70,22.52,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,200,
SATTU 500 GM,11022000,5.00,65.00,55.03,52.28,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,80,
SAUNDARYA FACE WASH 60 G,34013090,18.00,60.00,45.20,42.68,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
SHAHI PANEER MASALA 100 G,09109100,5.00,55.00,46.56,44.24,SPICES,RICE/PULSES/SPICES,FOOD,60,
SHANKH BHASM 10 G,30049011,12.00,10.00,7.44,NOTFORRETAIL,BHASM,JUICES & NATURAL BEVERAGES,FOOD,200,
SHILAJIT - 5G (STRIP),30049011,12.00,85.00,63.24,59.89,SHILAJIT,JUICES & NATURAL BEVERAGES,FOOD,240,
SHODHIT HARAD 100 G,30049011,12.00,35.00,26.04,24.66,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
SHVET MUSLI CHURNA 100 G,30049011,12.00,325.00,241.82,228.99,CHURNA (DP),JUICES & NATURAL BEVERAGES,FOOD,25,
SOANPAPDI (ELAICHI) 250 G-T,21069099,5.00,55.00,46.56,44.24,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,24,
SOANPAPDI (ORANGE) 250 G-T,21069099,5.00,55.00,46.56,44.24,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,24,
SPECIAL CHYAWANPRASH 1 KG,30049011,12.00,250.00,186.01,176.15,CHYAWANPRASH,JUICES & NATURAL BEVERAGES,FOOD,12,
SPECIAL CHYAWANPRASH 500 G,30049011,12.00,130.00,96.73,91.60,CHYAWANPRASH,JUICES & NATURAL BEVERAGES,FOOD,24,
SPECIAL THANDAI 750 ML,21069019,18.00,185.00,130.65,123.37,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
DISH WASH BAR 175 GM,34011941,18.00,10.00,7.85,7.41,DISHWASH,HOME CARE,NON FOOD,60,
SUPERIOR DETERGENT CAKE 125 G,34022010,18.00,8.00,6.28,5.93,DETERGENT CAKE,HOME CARE,NON FOOD,100,
SUPERIOR DETERGENT CAKE 250 G,34022010,18.00,16.00,12.55,11.86,DETERGENT CAKE,HOME CARE,NON FOOD,50,
SUPERIOR DETERGENT POWDER 1 KG,34029011,18.00,70.00,54.93,51.87,DETERGENT POWDER,HOME CARE,NON FOOD,25,
SUPERIOR DETERGENT POWDER 2 KG,34029011,18.00,135.00,105.93,100.03,DETERGENT POWDER,HOME CARE,NON FOOD,12,
SUPERIOR DETERGENT POWDER 250 G,34029011,18.00,18.00,14.12,13.34,DETERGENT POWDER,HOME CARE,NON FOOD,100,
SUPERIOR DETERGENT POWDER 500 G,34029011,18.00,35.00,27.46,25.93,DETERGENT POWDER,HOME CARE,NON FOOD,50,
TEJUS TAILUM 100 ML,33059019,18.00,60.00,45.20,42.68,TEJUS TAILUM,NATURAL PERSONAL CARE,NON FOOD,100,
TOMATO KETCHUP WITH ONION GARLIC 500 GM,21032000,12.00,70.00,53.88,51.02,KETCHUP,BISCUIT & CONFFECTIONARY,FOOD,12,
TOMATO KETCHUP 500 G(W/O ONION GARLIC),21032000,12.00,70.00,53.88,51.02,KETCHUP,BISCUIT & CONFFECTIONARY,FOOD,12,
TOOTHBRUSH (ACTIVE CARE)-T,96032100,18.00,20.00,13.04,12.31,TOOTHBRUSH,HOME CARE,NON FOOD,288,
TOOTHBRUSH (CURVY)-T,96032100,18.00,15.00,11.30,10.67,TOOTHBRUSH,HOME CARE,NON FOOD,288,
TOOTHBRUSH (JUNIOR)-T,96032100,18.00,15.00,11.30,10.67,TOOTHBRUSH,HOME CARE,NON FOOD,288,
TOOTHBRUSH (NORMAL) -T,96032100,18.00,10.00,7.53,7.11,TOOTHBRUSH,HOME CARE,NON FOOD,1440,
TOOTHBRUSH (TRIPLE ACTION)-T,96032100,18.00,25.00,16.30,15.39,TOOTHBRUSH,HOME CARE,NON FOOD,288,
TOOTHBRUSH(SOFT)-T,96032100,18.00,8.00,6.03,5.69,TOOTHBRUSH,HOME CARE,NON FOOD,288,
TULSI GHAN VATI 40 G,30049011,12.00,90.00,66.96,NOTFORRETAIL,VATI,JUICES & NATURAL BEVERAGES,FOOD,400,
TULSI PANCHANG JUICE 500 ML,30049011,12.00,90.00,66.96,NOTFORRETAIL,PANCHANG JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
TURMERIC POWDER 100 G,09103030,5.00,22.00,18.62,17.70,SPICES,RICE/PULSES/SPICES,FOOD,60,
WHOLE WHEAT ATTA 10 KG -T (N.RGN),11010000,5.00,300.00,267.02,253.70,ATTA,FLOUR & SUGAR,FOOD,5,
WHOLE WHEAT ATTA 5 KG -T (N.RGN),11010000,5.00,155.00,137.96,131.08,ATTA,FLOUR & SUGAR,FOOD,8,
COWS WHOLE MILK POWDER 200-GM,04021090,5.00,88.00,74.50,70.78,Milk Powder,JUICES & NATURAL BEVERAGES,FOOD,60,
DANT KANTI DENTAL CREAM (ADVANCE) 100-GM,33061020,18.00,90.00,66.32,62.63,DANT KANTI,HOME CARE,NON FOOD,96,
KESH KANTI HAIR OIL 300 ML,33059019,18.00,250.00,188.32,177.83,KK HAIR OIL,NATURAL PERSONAL CARE,NON FOOD,36,
SWARNA KANTI CREAM-15 G,33049910,18.00,399.00,300.56,283.82,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,36,
ANTI AGING CREAM-15 G,33049910,18.00,300.00,225.99,213.40,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,36,
SAUNDARYA CREAM BODY CLEANSER 75-GM,34011941,18.00,40.00,31.39,29.64,BATHING SOAP,HOME CARE,NON FOOD,100,
SAUNDARYA SANDAL BODY CLEANSER 75 G,34011941,18.00,35.00,27.46,25.93,BATHING SOAP,HOME CARE,NON FOOD,100,
YOUVAN CHURAN 100 G,30049011,12.00,200.00,148.81,140.92,CHURNA (DP),JUICES & NATURAL BEVERAGES,FOOD,25,
ALOEVERA NEEM CUCUMBER FACEPACK-60ML - T,33049990,18.00,60.00,45.20,42.68,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
LEMON BODY CLEANSER 125 G,34011941,18.00,45.00,35.31,33.34,BATHING SOAP,HOME CARE,NON FOOD,100,
PAPAD KALI MIRCH  - T,19059040,0.00,50.00,44.44,42.33,PAPAD,RICE/PULSES/SPICES,FOOD,30,
COCONUT HAIR WASH 150 ML,33051090,18.00,95.00,71.56,67.58,HAIR CONDITIONER,NATURAL PERSONAL CARE,NON FOOD,72,
ALOEVERA MULTANI MITTI FACE PACK-60ML- T,33049990,18.00,60.00,45.20,42.68,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
ALMOND KESHAR HANDWASH 175ML,34013019,18.00,90.00,67.80,64.02,HAND WASH,NATURAL PERSONAL CARE,NON FOOD,48,
HERBAL FACIAL FOAM 60 GM,34013090,18.00,60.00,45.20,42.68,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
CORIANDER POWDER 200 GM,09109100,5.00,37.00,31.32,29.76,SPICES,RICE/PULSES/SPICES,FOOD,30,
RED CHILLI POWDER 200 GM,09109100,5.00,50.00,42.33,40.22,SPICES,RICE/PULSES/SPICES,FOOD,30,
TURMERIC POWDER 200 GM,09103030,5.00,35.00,29.63,28.15,SPICES,RICE/PULSES/SPICES,FOOD,30,
HAIR CONDITIONER COLOUR PROTECTION 100 G,33059090,18.00,60.00,45.20,42.68,HAIR CONDITIONER,NATURAL PERSONAL CARE,NON FOOD,96,
CORN FLAKES MIX 250 GM  - T,19041010,18.00,85.00,64.03,60.46,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,48,
CORN FLAKES MIX 500GM  - T,19041010,18.00,145.00,109.23,103.14,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,24,
SOMYA LIQUID DETERGENT 500ML,34029011,18.00,80.00,62.77,59.28,DETERGENT POWDER,HOME CARE,NON FOOD,24,
LIP BALM (STRAWBERRY) 10 G,33041000,18.00,25.00,18.83,17.78,LIP CARE,NATURAL PERSONAL CARE,NON FOOD,480,
PATANJALI BALM 10 GM,30049011,12.00,18.00,13.39,12.68,BALM,NATURAL PERSONAL CARE,NON FOOD,400,
ELAICHI DELITE BISCUITS -T,19059020,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
HALDI CHANDAN KANTI BODY CLEANSER 150 GM,34011941,18.00,28.00,21.97,20.75,BATHING SOAP,HOME CARE,NON FOOD,72,
COWS GHEE 5 LTR,04059020,12.00,"2,775.00",2359.69,2258.51,GHEE,PHYSICAL OIL & GHEE,FOOD,4,
NAMKEEN MOONG DAL 200 GM - T,21069099,12.00,52.00,41.27,39.08,NAMKEEN,BISCUIT & CONFFECTIONARY,FOOD,30,
GUR WITH PEANUT & TILL,17011410,0.00,70.00,65.42,NOTFORRETAIL,GUD,JUICES & NATURAL BEVERAGES,FOOD,12,
COWS GHEE 15 LTR,04059020,12.00,"8,200.00",6972.79,6673.80,GHEE,PHYSICAL OIL & GHEE,FOOD,1,
POPULAR DETERGENT POWDER 2 KG,34029011,18.00,98.00,76.90,72.61,DETERGENT POWDER,HOME CARE,NON FOOD,12,
CHOCOS 125 GMS  - T,19041010,18.00,55.00,41.43,39.12,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,72,
CHOCOS 250 GMS  - T,19041010,18.00,100.00,75.33,71.13,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,48,
COWS GHEE 200 ML,04059020,12.00,125.00,106.29,101.73,GHEE,PHYSICAL OIL & GHEE,FOOD,60,
LITCHI DRINK 65 ML,22029020,12.00,5.00,3.97,3.76,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,80,
MANGO DRINK 65 ML,22029020,12.00,5.00,3.97,3.76,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,80,
GUAVA JUICE 65 ML,22029020,12.00,5.00,3.97,3.76,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,80,
SHEETAL OIL- 100 ML,33059011,18.00,55.00,41.43,39.12,HAIR OIL,NATURAL PERSONAL CARE,NON FOOD,100,
SUN SCREEN CREAM SPF30- 50GM,33049910,18.00,100.00,75.33,71.13,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,96,
THANDAI POWDER 500 GM,21069019,18.00,190.00,134.18,126.71,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,24,
OLIVE HANDWASH 175 ML,34013019,18.00,90.00,67.80,64.02,HAND WASH,NATURAL PERSONAL CARE,NON FOOD,48,
NAT KHAT BISCUIT 40 GM  - T,19059020,18.00,5.00,3.77,3.56,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,200,
NAT KHAT BISCUIT 80 GM  - T,19059020,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,60,
MUESLI FRUIT & NUT 200G-T,19041090,18.00,90.00,67.80,64.02,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,40,
MUESLI FRUIT & NUT 450G-T,19041090,18.00,195.00,146.89,138.71,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,20,
HERBAL SUHAG TEEKA,33049940,0.00,75.00,66.67,63.49,TEEKA,NATURAL PERSONAL CARE,NON FOOD,144,
IODIZED NAMAK 1 KG -T,25010010,0.00,12.00,8.00,7.28,NAMAK,FLOUR & SUGAR,FOOD,25,
IODIZED NAMAK 500 GM -T,25010010,0.00,6.00,4.20,3.83,NAMAK,FLOUR & SUGAR,FOOD,50,
NUTTY DELITE BISCUITS - 70 GM,19059020,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
OATS 200GM  - T,11041200,5.00,35.00,29.63,28.15,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,60,
OATS 500GM  - T,11041200,5.00,75.00,63.49,60.33,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,24,
BURA 1 KG,17011120,5.00,80.00,71.21,68.34,BURA,FLOUR & SUGAR,FOOD,30,
LEMON DRINK 500 ML,22029020,12.00,30.00,23.09,21.87,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,24,
PAPAD PUDINA,19059040,0.00,45.00,40.00,38.10,PAPAD,RICE/PULSES/SPICES,FOOD,30,
ALOEVERA KANTI BODY CLEANSER 150 G,34011941,18.00,28.00,21.97,20.75,BATHING SOAP,HOME CARE,NON FOOD,72,
BASMATI RICE 5 KG (GOLD),10063020,5.00,565.00,489.18,469.46,RICE,RICE/PULSES/SPICES,FOOD,6,
BASMATI RICE 5 KG (DIAMOND),10063020,5.00,700.00,623.05,591.97,RICE,RICE/PULSES/SPICES,FOOD,6,
CHANA DAL 500 GM (R1),07139091,5.00,50.00,44.50,42.71,PULSES,RICE/PULSES/SPICES,FOOD,20,
CHANA DAL 1000 GM (R1),07139091,5.00,98.00,87.23,83.71,PULSES,RICE/PULSES/SPICES,FOOD,10,
MOONG SABUT 500 GM (R1),07139099,5.00,45.00,40.05,38.44,PULSES,RICE/PULSES/SPICES,FOOD,20,
MOONG SABUT 1000 GM (R1),07139099,5.00,88.00,78.33,75.17,PULSES,RICE/PULSES/SPICES,FOOD,10,
MOONG CHILKA 500 GM (R1),07139091,5.00,45.00,40.05,38.44,PULSES,RICE/PULSES/SPICES,FOOD,20,
MOONG CHILKA 1000 GM (R1),07139091,5.00,88.00,78.33,75.17,PULSES,RICE/PULSES/SPICES,FOOD,10,
MOONG DHULI 500 GM (R1),07139091,5.00,49.00,43.61,41.86,PULSES,RICE/PULSES/SPICES,FOOD,20,
MOONG DHULI 1000 GM (R1),07139091,5.00,96.00,85.45,82.00,PULSES,RICE/PULSES/SPICES,FOOD,10,
TUVAR DAL 500 GM (R1),07139010,5.00,48.00,42.72,41.00,PULSES,RICE/PULSES/SPICES,FOOD,20,
TUVAR DAL 1000 GM (R1),07139010,5.00,94.00,83.67,80.29,PULSES,RICE/PULSES/SPICES,FOOD,10,
MALKA MASOOR 500 GM (R1),07134000,5.00,40.00,35.60,34.17,PULSES,RICE/PULSES/SPICES,FOOD,20,
MALKA MASOOR 1000 GM (R1),07134000,5.00,78.00,69.43,66.63,PULSES,RICE/PULSES/SPICES,FOOD,10,
KALA CHANA 500 GM (R1),07135000,5.00,50.00,44.50,42.71,PULSES,RICE/PULSES/SPICES,FOOD,20,
KALA CHANA 1000 GM (R1),07135000,5.00,98.00,87.23,83.71,PULSES,RICE/PULSES/SPICES,FOOD,10,
RAJMA 500 GM (R1),07133200,5.00,67.00,59.64,57.23,PULSES,RICE/PULSES/SPICES,FOOD,20,
RAJMA 1000 GM (R1),07133200,5.00,132.00,117.49,112.75,PULSES,RICE/PULSES/SPICES,FOOD,10,
KABULI CHANA 500 GM (R1),07132000,5.00,78.00,69.43,66.63,PULSES,RICE/PULSES/SPICES,FOOD,20,
KABULI CHANA 1000 GM (R1),07132000,5.00,154.00,137.07,131.55,PULSES,RICE/PULSES/SPICES,FOOD,10,
MIX DAL 500 GM (R1),07139091,5.00,49.00,43.61,41.86,PULSES,RICE/PULSES/SPICES,FOOD,20,
MIX DAL 1000 GM (R1),07139091,5.00,96.00,85.45,82.00,PULSES,RICE/PULSES/SPICES,FOOD,10,
ATTA NOODLES-70 GM-T,19022090,12.00,15.00,11.90,11.27,NOODLES,BISCUIT & CONFFECTIONARY,FOOD,128,
CHANA DAL 500 GM (R2),07139091,5.00,51.00,45.39,43.56,PULSES,RICE/PULSES/SPICES,FOOD,20,
CHANA DAL 1000 GM (R2),07139091,5.00,100.00,89.01,85.42,PULSES,RICE/PULSES/SPICES,FOOD,10,
MOONG SABUT 500 GM (R2),07139099,5.00,46.00,40.94,39.29,PULSES,RICE/PULSES/SPICES,FOOD,20,
MOONG SABUT 1000 GM (R2),07139099,5.00,90.00,80.11,76.88,PULSES,RICE/PULSES/SPICES,FOOD,10,
MOONG CHILKA 500 GM (R2),07139091,5.00,46.00,40.94,39.29,PULSES,RICE/PULSES/SPICES,FOOD,20,
MOONG CHILKA 1000 GM (R2),07139091,5.00,90.00,80.11,76.88,PULSES,RICE/PULSES/SPICES,FOOD,10,
MOONG DHULI 500 GM (R2),07139091,5.00,50.00,44.50,42.71,PULSES,RICE/PULSES/SPICES,FOOD,20,
MOONG DHULI 1000 GM (R2),07139091,5.00,98.00,87.23,83.71,PULSES,RICE/PULSES/SPICES,FOOD,10,
TUVAR DAL 500 GM (R2),07139010,5.00,49.00,43.61,41.86,PULSES,RICE/PULSES/SPICES,FOOD,20,
TUVAR DAL 1000 GM (R2),07139010,5.00,96.00,85.45,82.00,PULSES,RICE/PULSES/SPICES,FOOD,10,
MALKA MASOOR 500 GM (R2),07134000,5.00,41.00,36.49,35.02,PULSES,RICE/PULSES/SPICES,FOOD,20,
MALKA MASOOR 1000 GM (R2),07134000,5.00,80.00,71.21,68.34,PULSES,RICE/PULSES/SPICES,FOOD,10,
KALA CHANA 500 GM (R2),07135000,5.00,51.00,45.39,43.56,PULSES,RICE/PULSES/SPICES,FOOD,20,
KALA CHANA 1000 GM (R2),07135000,5.00,100.00,89.01,85.42,PULSES,RICE/PULSES/SPICES,FOOD,10,
RAJMA 500 GM (R2),07133200,5.00,68.00,60.53,58.09,PULSES,RICE/PULSES/SPICES,FOOD,20,
RAJMA 1000 GM (R2),07133200,5.00,134.00,119.27,114.46,PULSES,RICE/PULSES/SPICES,FOOD,10,
KABULI CHANA 500 GM (R2),07132000,5.00,79.00,70.32,67.48,PULSES,RICE/PULSES/SPICES,FOOD,20,
KABULI CHANA 1000 GM (R2),07132000,5.00,156.00,138.85,133.26,PULSES,RICE/PULSES/SPICES,FOOD,10,
MIX DAL 500 GM (R2),07139091,5.00,50.00,44.50,42.71,PULSES,RICE/PULSES/SPICES,FOOD,20,
MIX DAL 1000 GM (R2),07139091,5.00,98.00,87.23,83.71,PULSES,RICE/PULSES/SPICES,FOOD,10,
BASMATI RICE 1 KG(SILVER),10063020,5.00,95.00,82.25,78.94,RICE,RICE/PULSES/SPICES,FOOD,30,
BASMATI RICE 1 KG (GOLD),10063020,5.00,115.00,99.57,95.55,RICE,RICE/PULSES/SPICES,FOOD,30,
BASMATI RICE 1 KG (DIAMOND),10063020,5.00,145.00,129.06,122.62,RICE,RICE/PULSES/SPICES,FOOD,30,
SOANPAPDI (PURE GHEE ELAICHI) 250G-T,21069099,5.00,85.00,71.96,68.37,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,24,
SOANPAPDI (ELAICHI) 500G-T,21069099,5.00,105.00,88.89,84.46,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,12,
SOANPAPDI (PURE GHEE ELAICHI) 500G-T,21069099,5.00,170.00,143.92,136.74,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,12,
NUTTY DELITE BISCUITS - 100 GM,19059020,18.00,15.00,11.30,10.67,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
JEERA BITES BISCUITS (65 GM) -T,19059020,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,96,
SOANPAPDI (CHOCO ELAICHI) 250G-T,21069099,5.00,70.00,59.26,56.30,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,24,
SOANPAPDI COMBO (PURE GHEE ELA+CHOC) 500,21069099,5.00,145.00,122.75,116.63,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,12,
RASGULLA 1 KG,21069099,5.00,150.00,126.98,120.65,RASGULLA,BISCUIT & CONFFECTIONARY,FOOD,12,
SOANPAPDI COMBO (PURE GHEE ELA+ORA) 500G,21069099,5.00,140.00,118.52,112.61,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,12,
WHEAT GRASS POWDER 100 GM-T,10083090,12.00,350.00,260.42,247.43,GRASS POWDER,JUICES & NATURAL BEVERAGES,FOOD,12,
DOODH BISCUITS (100 GM) -T,19053100,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
KESH KANTI HAIR CLEANSER ALOE VERA 200ML,33051090,18.00,85.00,64.03,60.46,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,36,
TONGUE CLEANER -T,96032100,18.00,35.00,22.82,21.55,TONGUE CLEANER,HOME CARE,NON FOOD,240,
TOOTHBRUSH (SENSITIVE)-T,96032100,18.00,30.00,19.56,18.47,TOOTHBRUSH,HOME CARE,NON FOOD,288,
YOUVAN GOLD PLUS CAPSULE,30049011,12.00,750.00,558.04,NOTFORRETAIL,YOUVAN GOLD,JUICES & NATURAL BEVERAGES,FOOD,24,
CHOCOS-30 GM,19041010,18.00,10.00,7.53,7.11,BREAKFAST CEREALS,BISCUIT & CONFFECTIONARY,FOOD,360,
CHANA DAL 35-GM,21069099,12.00,10.00,7.94,7.52,NAMKEEN,BISCUIT & CONFFECTIONARY,FOOD,100,
PINEAPPLE CANDY-250 GM,08129010,5.00,65.00,51.59,49.01,CANDY,BISCUIT & CONFFECTIONARY,FOOD,24,
COWS WHOLE MILK POWDER 500-GM,04021090,5.00,215.00,182.01,172.93,Milk Powder,JUICES & NATURAL BEVERAGES,FOOD,24,
HERBAL POWERVITA - 500 GM-T,19019090,18.00,205.00,147.23,139.03,POWERVITA,JUICES & NATURAL BEVERAGES,FOOD,20,
ENERGY BAR WITH CHOCO CHIPS-40GM,18069010,18.00,30.00,22.11,20.42,ENERGY BAR,BISCUIT & CONFFECTIONARY,FOOD,336,
SUPER STAR COW'S MILK BAR - 40GM,18069010,18.00,30.00,22.11,20.42,ENERGY BAR,BISCUIT & CONFFECTIONARY,FOOD,336,
SUPER STAR COW MILK BAR WITH ALMONDS-40G,18069010,18.00,30.00,22.11,20.42,ENERGY BAR,BISCUIT & CONFFECTIONARY,FOOD,336,
ENERGY BAR WITH STRAWBERRY CHUNKS-40GM,17049090,18.00,30.00,22.11,20.42,ENERGY BAR,BISCUIT & CONFFECTIONARY,FOOD,336,
ENERGY BAR WITH ORANGE PEEL-40GM,17049090,18.00,30.00,22.11,20.42,ENERGY BAR,BISCUIT & CONFFECTIONARY,FOOD,336,
TURMERIC POWDER 500 GM,09103030,5.00,85.00,71.96,68.37,SPICES,RICE/PULSES/SPICES,FOOD,12,
ATTA NOODLES CHATPATA-60 GM-T,19022090,12.00,10.00,7.94,7.52,NOODLES,BISCUIT & CONFFECTIONARY,FOOD,128,
NAMKEEN BISCUITS 125 GM -T,19059020,18.00,15.00,11.30,10.67,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,60,
DIGESTIVE WHOLE WHEAT BISCUIT 250 GM - T,19059020,18.00,50.00,37.66,35.57,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,20,
DOODH BISCUITS (50 GM) -T,19053100,18.00,5.00,3.77,3.56,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,200,
ATTA NOODLES CLASSIC-60 GM-T,19022090,12.00,10.00,7.94,7.52,NOODLES,BISCUIT & CONFFECTIONARY,FOOD,128,
APPLE BEVERAGE- 200 ML,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
MANGO BEVERAGE- 200 ML,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
